Run 1:
 268435456          0.011235600
 536870912          0.022463333
1073741824          0.044926487

Run 11:
         8          0.000002262
        16          0.000002277
        32          0.000002270
        64          0.000002301
       128          0.000002967
       256          0.000003093
       512          0.000003132
      1024          0.000003184
      2048          0.000003232
      4096          0.000003366
      8192          0.000003907
     16384          0.000004376
     32768          0.000008284
     65536          0.000010129
    131072          0.000014398
    262144          0.000022687
    524288          0.000030191
   1048576          0.000050490
   2097152          0.000093303
   4194304          0.000180150
   8388608          0.000354422
  16777216          0.000703966
  33554432          0.001403761
  67108864          0.002824012
 134217728          0.005653955
 268435456          0.011300065
 536870912          0.022592535
1073741824          0.045179888

Run 12:
         8          0.000002488
        16          0.000002376
        32          0.000002354
        64          0.000002333
       128          0.000002965
       256          0.000003238
       512          0.000003222
      1024          0.000003409
      2048          0.000003601
      4096          0.000003453
      8192          0.000003902
     16384          0.000004704
     32768          0.000007819
     65536          0.000009248
    131072          0.000011969
    262144          0.000017517
    524288          0.000028367
   1048576          0.000050026
   2097152          0.000097966
   4194304          0.000180278
   8388608          0.000354518
  16777216          0.000704026
  33554432          0.001403153
  67108864          0.002814766
 134217728          0.005621428
 268435456          0.011234634
 536870912          0.022462721
1073741824          0.044928854

Run 13:
         8          0.000002256
        16          0.000002263
        32          0.000002255
        64          0.000002346
       128          0.000005693
       256          0.000003089
       512          0.000003125
      1024          0.000003207
      2048          0.000003223
      4096          0.000003367
      8192          0.000003778
     16384          0.000004334
     32768          0.000008177
     65536          0.000010333
    131072          0.000014435
    262144          0.000022186
    524288          0.000030211
   1048576          0.000050604
   2097152          0.000094523
   4194304          0.000180140
   8388608          0.000354396
  16777216          0.000704135
  33554432          0.001403708
  67108864          0.002825211
 134217728          0.005653088
 268435456          0.011305322
 536870912          0.022598000
1073741824          0.045170383

Run 14:
         8          0.000002412
        16          0.000002414
        32          0.000002328
        64          0.000004958
       128          0.000002972
       256          0.000003224
       512          0.000003242
      1024          0.000003423
      2048          0.000003539
      4096          0.000003598
      8192          0.000003935
     16384          0.000004375
     32768          0.000007788
     65536          0.000009199
    131072          0.000011990
    262144          0.000017488
    524288          0.000028319
   1048576          0.000051533
   2097152          0.000093366
   4194304          0.000181569
   8388608          0.000355976
  16777216          0.000703898
  33554432          0.001403248
  67108864          0.002815218
 134217728          0.005620886
 268435456          0.011235308
 536870912          0.022463491
1073741824          0.044935128

Run 15:
         8          0.000002398
        16          0.000004938
        32          0.000002325
        64          0.000002339
       128          0.000002949
       256          0.000003210
       512          0.000003237
      1024          0.000003437
      2048          0.000003461
      4096          0.000003552
      8192          0.000003860
     16384          0.000004449
     32768          0.000007818
     65536          0.000009118
    131072          0.000011879
    262144          0.000017394
    524288          0.000028297
   1048576          0.000051579
   2097152          0.000093252
   4194304          0.000181684
   8388608          0.000354389
  16777216          0.000703955
  33554432          0.001403222
  67108864          0.002814719
 134217728          0.005621318
 268435456          0.011235269
 536870912          0.022464127
1073741824          0.044931787
